iteracao,endpoint,tempo_resposta
1,register,0.30567153899755795
1,login,0.019672531001560856
1,refresh,0.038064329000917496
1,logout,0.010074154000903945
2,register,0.007890733999374788
2,login,0.009526060999633046
2,refresh,0.009241378000297118
2,logout,0.008168855998519575
3,register,0.0068305530003272
3,login,0.009230742998624919
3,refresh,0.00853134800127009
3,logout,0.0073189670001738705
4,register,0.008447415002592606
4,login,0.007966557001054753
4,refresh,0.0088638790002733
4,logout,0.008015470000827918
5,register,0.008319974000187358
5,login,0.007997223998245317
5,refresh,0.007780750998790609
5,logout,0.006538107001688331
6,register,0.007301791003555991
6,login,0.007838370998797473
6,refresh,0.007080573999701301
6,logout,0.007436006999341771
7,register,0.007756933999189641
7,login,0.007329996002226835
7,refresh,0.008172260000719689
7,logout,0.00642407199848094
8,register,0.010010298999986844
8,login,0.007333549998293165
8,refresh,0.006588555002963403
8,logout,0.0062607440013380256
9,register,0.006509219998406479
9,login,0.008490510001138318
9,refresh,0.00746237800194649
9,logout,0.007430312001815764
10,register,0.0075385560012364294
10,login,0.008542003000911791
10,refresh,0.008498171999235637
10,logout,0.006687675999273779
11,register,0.008018058000743622
11,login,0.007781505999446381
11,refresh,0.007793700002366677
11,logout,0.0069318379973992705
12,register,0.008131673999741906
12,login,0.006204900000739144
12,refresh,0.0067511280030885246
12,logout,0.006853730999864638
13,register,0.007417269000143278
13,login,0.007579950000945246
13,refresh,0.0070930050023889635
13,logout,0.007023529997240985
14,register,0.008677025998622412
14,login,0.006412170998373767
14,refresh,0.007053584002278512
14,logout,0.0062348969986487646
15,register,0.007848757999454392
15,login,0.007092833002388943
15,refresh,0.007060341999022057
15,logout,0.006142381000245223
16,register,0.007041921999189071
16,login,0.00673947399991448
16,refresh,0.008044772999710403
16,logout,0.008259458001703024
17,register,0.007428739998431411
17,login,0.007313152997085126
17,refresh,0.007623273999342928
17,logout,0.0062421439979516435
18,register,0.007633089000592008
18,login,0.008900357002858073
18,refresh,0.008016476000193506
18,logout,0.007911065000371309
19,register,0.008472896002786001
19,login,0.007015187002252787
19,refresh,0.007115653999790084
19,logout,0.006491711003036471
20,register,0.0060878149997734
20,login,0.007421671001793584
20,refresh,0.007057499999064021
20,logout,0.007675855998968473
21,register,0.007069251998473192
21,login,0.007134475999919232
21,refresh,0.007387011999526294
21,logout,0.0066117360001953784
22,register,0.009156519998214208
22,login,0.007699572997807991
22,refresh,0.00657904400213738
22,logout,0.006262170998525107
23,register,0.006458277999627171
23,login,0.0067342069996811915
23,refresh,0.007158582000556635
23,logout,0.005839151999680325
24,register,0.006361294999805978
24,login,0.007131589001801331
24,refresh,0.005998317999910796
24,logout,0.006177799001306994
25,register,0.007332649998716079
25,login,0.006733086000167532
25,refresh,0.006874452999909408
25,logout,0.0063320060035039205
26,register,0.006355577002977952
26,login,0.007231695999507792
26,refresh,0.008149065997713478
26,logout,0.0074952659997507
27,register,0.006174573998578126
27,login,0.0060432490026869345
27,refresh,0.006360249997669598
27,logout,0.007341895998251857
28,register,0.006248852998396615
28,login,0.00765830599993933
28,refresh,0.007662029001949122
28,logout,0.00684619299863698
29,register,0.0065911099991353694
29,login,0.006283372997131664
29,refresh,0.007990340000105789
29,logout,0.006365188000927446
30,register,0.006320045999018475
30,login,0.0066773969992937054
30,refresh,0.007491862997994758
30,logout,0.006972564999159658
31,register,0.006152504000056069
31,login,0.006746134000422899
31,refresh,0.008140056997945067
31,logout,0.006707922999339644
32,register,0.007439815999532584
32,login,0.008794189001491759
32,refresh,0.007769869000185281
32,logout,0.008240491999458754
33,register,0.006917661001352826
33,login,0.005781897998531349
33,refresh,0.006928081998921698
33,logout,0.0076906090034754016
34,register,0.005993644001137
34,login,0.0068100010030320846
34,refresh,0.006475213998783147
34,logout,0.007424608997098403
35,register,0.0054634110019833315
35,login,0.006282032001763582
35,refresh,0.008320706001541112
35,logout,0.0073354369997105096
36,register,0.006136230000265641
36,login,0.006231283998204162
36,refresh,0.006653078002273105
36,logout,0.0059371730021666735
37,register,0.0062613570007670205
37,login,0.0064714939981058706
37,refresh,0.005970901002001483
37,logout,0.006338191997201648
38,register,0.005829267000081018
38,login,0.006217250000190688
38,refresh,0.005751074000727385
38,logout,0.0070918640012678225
39,register,0.006270597998081939
39,login,0.006732669000484748
39,refresh,0.007430174999171868
39,logout,0.006178429001010954
40,register,0.006899447998875985
40,login,0.0069007910024083685
40,refresh,0.0070684140009689145
40,logout,0.0066719829992507584
41,register,0.006184946996654617
41,login,0.005709876997570973
41,refresh,0.0071527580003021285
41,logout,0.007950911000079941
42,register,0.007075526998960413
42,login,0.006702596998366062
42,refresh,0.0069091479999769945
42,logout,0.006723350998072419
43,register,0.007806950998201501
43,login,0.006886758998007281
43,refresh,0.007540620001236675
43,logout,0.0063977899990277365
44,register,0.006129080000391696
44,login,0.005662771996867377
44,refresh,0.006563375998666743
44,logout,0.006247164001251804
45,register,0.005777555001259316
45,login,0.005697104003047571
45,refresh,0.006897133000165923
45,logout,0.0067086580020259134
46,register,0.00588515900017228
46,login,0.0062913270012359135
46,refresh,0.006631134001509054
46,logout,0.006847971999377478
47,register,0.005480755000462523
47,login,0.006676714001514483
47,refresh,0.0069327909986895975
47,logout,0.006760291002137819
48,register,0.005654589000187116
48,login,0.007145458999730181
48,refresh,0.007019929998932639
48,logout,0.006848793000244768
49,register,0.006193320998136187
49,login,0.0054121670000313316
49,refresh,0.007279557001311332
49,logout,0.006853263002994936
50,register,0.006662380001216661
50,login,0.0061741169993183576
50,refresh,0.006724757000483805
50,logout,0.006007020998367807
51,register,0.006139427001471631
51,login,0.006068817001505522
51,refresh,0.006470260999776656
51,logout,0.006290047000220511
52,register,0.006585514998732833
52,login,0.006124029001512099
52,refresh,0.0065317750013491604
52,logout,0.006334593999781646
53,register,0.006373307998728706
53,login,0.005837561999214813
53,refresh,0.006726019997586263
53,logout,0.006895416998304427
54,register,0.00654412699805107
54,login,0.007152965001296252
54,refresh,0.0071467320012743585
54,logout,0.005688993001967901
55,register,0.006284863997279899
55,login,0.006801158000598662
55,refresh,0.0075322679986129515
55,logout,0.006740795000951039
56,register,0.005914625002333196
56,login,0.007665670000278624
56,refresh,0.007053213001199765
56,logout,0.006594680999114644
57,register,0.005805226999655133
57,login,0.005601613000180805
57,refresh,0.006916837002790999
57,logout,0.006657256999460515
58,register,0.005977655000606319
58,login,0.00767503899987787
58,refresh,0.008348534000106156
58,logout,0.008083315999101615
59,register,0.005402082002547104
59,login,0.006356588000926422
59,refresh,0.00684950899812975
59,logout,0.007213300999865169
60,register,0.005622201999358367
60,login,0.006175230002554599
60,refresh,0.00774094000007608
60,logout,0.007350171999860322
61,register,0.006791865998820867
61,login,0.0062570490008511115
61,refresh,0.006743188998370897
